ID	title	language	region	release_date	serial
RVL-R4RZ-CAN	FIFA 10	English / French	NTSC-U	N/A	RVL-R4RZ-CAN
RVL-R4SE-USA	MLB Superstars	English	NTSC-U	N/A	RVL-R4SE-USA
RVL-R4VE-USA	Storybook Workshop	English / French / Spanish	NTSC-U	N/A	RVL-R4VE-USA
RVL-R4VJ-JPN	Tele Shibai Wii	Japanese	NTSC-J	N/A	RVL-R4VJ-JPN
RVL-R4WJ-JPN	Jikkyou Powerful Major League 2009	Japanese	NTSC-J	N/A	RVL-R4WJ-JPN
RVL-R4YJ-JPN	Sukeban Shachou Rena Wii: Neko Shachou, Tsukaeru Shain Daiboshuu.	Japanese	NTSC-J	N/A	RVL-R4YJ-JPN
RVL-R4ZJ-JPN	Zero: Tsukihami no Kamen	Japanese	NTSC-J	N/A	RVL-R4ZJ-JPN
RVL-R52E-USA	Neopets: Puzzle Adventure	English	NTSC-U	N/A	RVL-R52E-USA
RVL-R52P-EUR	Neopets: Puzzle Adventure	Dutch / English / French / German / Spanish	PAL	N/A	RVL-R52P-EUR
RVL-R53P-EUR	In the Mix featuring Armin van Buuren	Dutch / English / French / German / Italian / Spanish	PAL	N/A	RVL-R53P-EUR
RVL-R54F-FRA	De Chiffres & Des Lettress: Le Jeu Officiel	French	PAL	N/A	RVL-R54F-FRA
RVL-R55P-EUR	Who Wants to Be a Millionaire	Dutch / English / French / German / Italian / Spanish	PAL	N/A	RVL-R55P-EUR
RVL-R56E-USA	Astro Boy: The Video Game	English / French / Spanish	NTSC-U	N/A	RVL-R56E-USA
RVL-R56P-EUR	Astro Boy: The Video Game	English / French / German / Italian / Spanish	PAL	N/A	RVL-R56P-EUR
RVL-R57F-FRA	Questions pour un Champion: Le Jeu Officiel	French	PAL	N/A	RVL-R57F-FRA
RVL-R58D-NOE	U-Sing	German	PAL	N/A	RVL-R58D-NOE
RVL-R58F-FRA	U-Sing	French	PAL	N/A	RVL-R58F-FRA
RVL-R58I-ITA	U-Sing	Italian	PAL	N/A	RVL-R58I-ITA
RVL-R58P-EUR	U-Sing	Dutch / English	PAL	N/A	RVL-R58P-EUR
RVL-R58S-ESP	U-Sing	Spanish	PAL	N/A	RVL-R58S-ESP
RVL-R59D-GER	Disney Club Penguin: Game Day!	German	PAL	N/A	RVL-R59D-GER
RVL-R59E-USA	Disney Club Penguin: Game Day!	English / French / Spanish	NTSC-U	N/A	RVL-R59E-USA
RVL-R59P-UKV	Disney Club Penguin: Game Day!	English	PAL	N/A	RVL-R59P-UKV
RVL-R5AE-USA	The Golden Compass	English	NTSC-U	N/A	RVL-R5AE-USA
RVL-R5AP-EUR	The Golden Compass	English / French / German / Italian / Spanish	PAL	N/A	RVL-R5AP-EUR
RVL-R5AX-SCN	The Golden Compass	Danish / Dutch / English / Norwegian / Swedish	PAL	N/A	RVL-R5AX-SCN
RVL-R5DE-USA	Flip's Twisted World	English	NTSC-U	N/A	RVL-R5DE-USA
RVL-R5EP-UKV	Countdown: The Game	English	PAL	N/A	RVL-R5EP-UKV
RVL-R5FE-USA	Academy of Champions: Soccer	English / French / Spanish	NTSC-U	N/A	RVL-R5FE-USA
RVL-R5FP-EUR	Academy of Champions: Football	Dutch / English / French / German / Italian / Spanish	PAL	N/A	RVL-R5FP-EUR
