発売日,メーカー,タイトル,⭐クロスレビュー(評価),パッケージ併売,ジャンル,開発元,ID,販売本数,ジャンル(詳細),プラットフォーム
2024-10-10,バンダイナムコエンターテインメント,ドラゴンボール Sparking! ZERO,-,YES,ETC,バンダイナムコエンターテインメント,0,1,その他,その他
2024-10-11,アトラス,メタファー:リファンタジオ,-,YES,ETC,アトラス,0,1,その他,その他
2024-10-17,コナミデジタルエンタテインメント,プロ野球スピリッツ2024-2025,-,,ETC,コナミデジタルエンタテインメント,0,1,その他,その他
2024-10-23,Mojang Studios,マインクラフト,-,YES,ETC,Mojang Studios,193_0m_128n,1,その他,その他
2024-10-24,コーエーテクモゲームス,三國志8 Remake,-,,ETC,コーエーテクモゲームス,0,1,その他,その他
2024-10-25,日本マイクロソフト(Xbox Game Studios),コール オブ デューティ ブラックオプス 6,-,YES,ETC,日本マイクロソフト(Xbox Game Studios),0,1,その他,その他
2024-10-25,セガ,ソニック × シャドウ ジェネレーションズ,-,YES,ETC,セガ,0,1,その他,その他
2024-12-19,"SURVIOS, INC",Alien: Rogue Incursion,-,,ETC,"SURVIOS, INC",0,1,その他,その他
2025-01-02,KURO GAMES,鳴潮,-,,ETC,KURO GAMES,0,1,その他,その他
2025-01-06,Yummy Games,プロジェクトタワー,-,,ETC,Yummy Games,0,1,その他,その他
2025-01-09,バンダイナムコエンターテインメント,FREEDOM WARS Remastered,-,,ETC,バンダイナムコエンターテインメント,0,1,その他,その他
2025-01-16,バンダイナムコエンターテインメントス,テイルズ オブ グレイセス エフ リマスター,-,YES,ETC,バンダイナムコエンターテインメントス,0,1,その他,その他
2025-01-17,コーエーテクモゲームス,真・三國無双 ORIGINS,38,YES,ACT,コーエーテクモゲームス,6853_0m_4957,1,タクティカルアクション,その他
2025-01-23,Binary Haze Interactive,ENDER MAGNOLIA: Bloom in the Mist,-,,ETC,Binary Haze Interactive,0,1,その他,その他
2025-01-23,バンダイナムコエンターテインメント,SYNDUALITY Echo of Ada,-,,ETC,バンダイナムコエンターテインメント,0,1,その他,その他
2025-02-05,PLAION,Kingdom Come: Deliverance II,-,,ETC,PLAION,0,1,その他,その他
2025-02-06,PLAYISM,Momodora: 月影のエンドロール,-,,ETC,PLAYISM,0,1,その他,その他
2025-02-11,2KFiraxis Games,シドマイヤーズ シヴィライゼーションVII,-,,ETC,2KFiraxis Games,0,1,その他,その他
2025-02-12,MARCER GAMES,Pyramids and Aliens: Escape Room,-,,ETC,MARCER GAMES,0,1,その他,その他
2025-02-13,The Fun Pimps,7 Days to Die,-,YES,ETC,The Fun Pimps,0,1,その他,その他
2025-02-13,DANGEN Entertainment,Recall: Empty Wishes,-,,ETC,DANGEN Entertainment,0,1,その他,その他
2025-02-13,Eggtart,メタルスーツ：カウンターアタック,-,,ETC,Eggtart,0,1,その他,その他
2025-02-13,PLAYISM,救国のスネジンカ,-,,ETC,PLAYISM,0,1,その他,その他
2025-02-13,コーエーテクモゲームス,無双:Abyss,-,,ETC,コーエーテクモゲームス,0,1,その他,その他
2025-02-13,集英社ゲームズ,都市伝説解体センター,-,,ETC,集英社ゲームズ,0,1,その他,その他
2025-02-20,Astrolabe Games,機動戦艦ガンドッグ 太陽系物語,-,,ETC,Astrolabe Games,0,1,その他,その他
2025-02-21,セガ,龍が如く8外伝 Pirates in Hawaii,-,YES,ETC,セガ,0,1,その他,その他
2025-02-28,カプコン,モンスターハンターワイルズ,-,YES,ETC,カプコン,0,1,その他,その他
2025-03-06,コナミ,幻想水滸伝 1&2 HDリマスター 門の紋章戦争 / デュナン統一戦争,-,,ETC,コナミ,0,1,その他,その他
2025-03-07,エレクトロニック・アーツ,スプリット・フィクション,-,,ETC,エレクトロニック・アーツ,0,1,その他,その他
2025-03-20,ユービーアイソフト,アサシン クリード シャドウズ,-,YES,ETC,ユービーアイソフト,0,1,その他,その他
2025-03-21,バンダイナムコエンターテインメント,BLEACH Rebirth of Souls,-,YES,ETC,バンダイナムコエンターテインメント,0,1,その他,その他
2025-03-21,コーエーテクモゲームス,ユミアのアトリエ ～追憶の錬金術士と幻創の地～,-,YES,ETC,コーエーテクモゲームス,6855_0m_4959,1,その他,その他
2025-03-27,コーエーテクモゲームス,Venus Vacation PRISM - DEAD OR ALIVE Xtreme -,-,YES,ETC,コーエーテクモゲームス,6857_0m_4960,1,その他,その他
2025-04-17,Beep Japan,Starship Troopers: Extermination,-,,ETC,Beep Japan,0,1,その他,その他
2025-04-17,ベセスダ・ソフトワークス,インディ・ジョーンズ/大いなる円環,-,,ETC,ベセスダ・ソフトワークス,6864_0m_4969,1,その他,その他
2025-04-17,セガ,ツーポイントミュージアム エクスプローラーエディション,-,,ETC,セガ,0,1,その他,その他
2025-04-24,Kepler Interactive / セガ,Clair Obscur: Expedition 33,-,,ETC,Kepler Interactive / セガ,0,1,その他,その他
2025-04-24,PQubeBeep Japan,ナノアポスル,-,,ETC,PQubeBeep Japan,0,1,その他,その他
2025-04-24,SNK,餓狼伝説 City of the Wolves,-,,ETC,SNK,0,1,その他,その他
2025-05-08,Silver Lining Interactive,Spirit of the North 2,-,YES,ETC,Silver Lining Interactive,0,1,その他,その他
2025-05-15,Game Source Entertainment,百剣討妖伝綺譚,-,,ETC,Game Source Entertainment,0,1,その他,その他
2025-05-22,Starbreeze Entertainment,Out of Sight,-,,ETC,Starbreeze Entertainment,0,1,その他,その他
2025-05-30,フロム・ソフトウェア,ELDEN RING NIGHTREIGN,-,,ETC,フロム・ソフトウェア,0,1,その他,その他
2025-06-05,ハチノヨン,DELTARUNE,-,,ETC,ハチノヨン,0,1,その他,その他
2025-06-17,Remedy Entertainment,FBC:Breakout,-,,ETC,Remedy Entertainment,0,1,その他,その他
2025-06-19,アトラス,RAIDOU Remastered: 超力兵団奇譚,-,YES,ETC,アトラス,0,1,その他,その他
2025-06-23,INTENSE,UNDERWARD,-,,ETC,INTENSE,0,1,その他,その他
2025-06-26,コジマプロダクション,DEATH STRANDING 2: ON THE BEACH,-,YES,ETC,コジマプロダクション,6844_0m_4948,1,その他,その他
2025-07-15,VOID Interactive,Ready or Not,-,,ETC,VOID Interactive,0,1,その他,その他
2025-07-15,Nordcurrent Labs,エリクスホルム：奪われた夢,-,,ETC,Nordcurrent Labs,0,1,その他,その他
2025-07-17,システムソフト・ベータ,大戦略SSB,-,,ETC,システムソフト・ベータ,0,1,その他,その他
2025-07-24,BEEP,コットンリブート ハイテンション!,-,,ETC,BEEP,0,1,その他,その他
2025-07-31,DotEmu,NINJA GAIDEN: Ragebound,-,,ETC,DotEmu,0,1,その他,その他
2025-08-01,Limited Run Games,オレっ!トンバ Special Edition,-,YES,ETC,Limited Run Games,0,1,その他,その他
2025-08-01,不明,鬼滅の刃 ヒノカミ血風譚2,-,,ETC,不明,0,1,その他,その他
2025-08-05,バンダイナムコエンターテインメント,DEATH NOTE Killer Within,-,,ETC,バンダイナムコエンターテインメント,0,1,その他,その他
2025-08-05,不明,Hello Kitty Island Adventure,-,,ETC,不明,0,1,その他,その他
2025-08-07,THQ Nordic Japan,Goat Simulator: Remastered,31,,SLG,THQ Nordic Japan,0,1,ヤギシミュレーター,その他
2025-08-07,3goo,RoboCop: Rogue City - Unfinished Business,-,,ETC,3goo,0,1,その他,その他
2025-08-07,コナミ,グラディウス オリジン コレクション,-,,ETC,コナミ,0,1,その他,その他
2025-08-07,賈船,バスレロエス インベージョン,-,YES,ETC,賈船,0,1,その他,その他
2025-08-08,ベセスダ・ソフトワークス,Heretic + Hexen,-,,ETC,ベセスダ・ソフトワークス,0,1,その他,その他
2025-08-08,2K,マフィア：オリジン ～裏切りの祖国,-,,ETC,2K,0,1,その他,その他
2025-08-18,松竹,BrokenLore: DON'T WATCH,-,,ETC,松竹,0,1,その他,その他
2025-08-19,TiMi Studios,Delta Force,-,,ETC,TiMi Studios,0,1,その他,その他
2025-08-19,Giant Squid,SWORD OF THE SEA,-,,ETC,Giant Squid,0,1,その他,その他
2025-08-20,スクウェア・エニックス,トライアングルストラテジー,-,,ETC,スクウェア・エニックス,0,1,その他,その他
2025-08-21,PQube,Discounty: ドタバタスーパー物語,-,,ETC,PQube,0,1,その他,その他
2025-08-21,ケムコ,ケムコRPGセレクションVol.14,-,YES,ETC,ケムコ,0,1,その他,その他
2025-08-21,Ubisoft,ザ・ローグ：プリンス オブ ペルシャ,-,,ETC,Ubisoft,6836_0m_4940,1,その他,その他
2025-08-21,日本ファルコム,英雄伝説 閃の軌跡III,33,YES,RPG,日本ファルコム,0,1,ストーリーRPG,その他
2025-08-21,コンパイルハート,魔法司書アリアナ ～七英傑の書～,-,YES,ETC,コンパイルハート,0,1,その他,その他
2025-08-28,バンダイナムコエンターテインメント,スーパーロボット大戦Y,-,,ETC,バンダイナムコエンターテインメント,1294_0m_1025,1,その他,その他
2025-08-28,コナミデジタルエンタテインメント,メタルギアソリッド デルタ: スネークイーター,-,YES,ETC,コナミデジタルエンタテインメント,0,1,その他,その他
2025-08-28,日本一ソフトウェア,連呪,-,YES,ETC,日本一ソフトウェア,0,1,その他,その他
2025-09-03,Reikon Games,METAL EDEN,-,,ETC,Reikon Games,0,1,その他,その他
2025-09-04,Nacon,Hell is Us,-,,ETC,Nacon,0,1,その他,その他
2025-09-04,架け橋ゲームズ,Hirogami,-,,ETC,架け橋ゲームズ,0,1,その他,その他
2025-09-04,不明,Mandragora: Whispers of the Witch Tree,-,,ETC,不明,0,1,その他,その他
2025-09-04,Hutlihut GamesFocus Entertainment,Void Crew,-,,ETC,Hutlihut GamesFocus Entertainment,0,1,その他,その他
2025-09-04,バンダイナムコエンターテインメント,みんなのGOLF WORLD,-,,ETC,バンダイナムコエンターテインメント,0,1,その他,その他
2025-09-05,Take-Two,NBA 2K26,-,,ETC,Take-Two,6821_0m_4924,1,その他,その他
2025-09-05,マーベラス,デモンエクスマキナ タイタニックサイオン,-,,ETC,マーベラス,0,1,その他,その他
2025-09-09,3goo,Firefighting Simulator: Ignite,-,,ETC,3goo,0,1,その他,その他
2025-09-18,エインシャント/SUPERDELUXE GAMES,アーシオン,-,,ETC,エインシャント/SUPERDELUXE GAMES,0,1,その他,その他
2025-09-18,バンダイナムコエンターテインメント,トワと神樹の祈り子たち,-,,ETC,バンダイナムコエンターテインメント,0,1,その他,その他
2025-09-18,MAGES.,五等分のプリンセス ～幻想と深淵と魔法学院～,-,,ETC,MAGES.,0,1,その他,その他
2025-09-19,スパイク・チュンソフト,Dying Light: The Beast,-,,ETC,スパイク・チュンソフト,0,1,その他,その他
2025-09-23,Devolver Digital,Baby Step,-,,ETC,Devolver Digital,0,1,その他,その他
2025-09-23,Gearbox Software,ボーダーランズ4,-,,ETC,Gearbox Software,0,1,その他,その他
2025-09-25,コナミデジタルエンタテインメント,サイレントヒルf,-,YES,ETC,コナミデジタルエンタテインメント,0,1,その他,その他
2025-09-25,セガ,ソニックレーシング クロスワールド,-,YES,ETC,セガ,0,1,その他,その他
2025-09-25,Teyon Japan,プレートアップ！,-,,ETC,Teyon Japan,0,1,その他,その他
2025-09-25,ハピネット,ポピープレイタイム トリプルパック,-,YES,ETC,ハピネット,0,1,その他,その他
2025-09-25,Eastasiasoft,範馬刃牙: Blood Arena,-,,ETC,Eastasiasoft,0,1,その他,その他
2025-09-26,エレクトロニック・アーツ,EA Sports FC 26,-,YES,ETC,エレクトロニック・アーツ,0,1,その他,その他
2025-09-26,不明,ホテル・バルセロナ,-,,ETC,不明,0,1,その他,その他
2025-09-26,コーエーテクモゲームス,紅の錬金術士と白の守護者 ～レスレリアーナのアトリエ～,-,YES,ETC,コーエーテクモゲームス,6856_0m_4961,1,その他,その他
2025-09-30,スクウェア・エニックス,ファイナルファンタジータクティクス - イヴァリース クロニクルズ,-,YES,ETC,スクウェア・エニックス,0,1,その他,その他
2025-10-01,Fictions,LEGO Party!,-,,ETC,Fictions,0,1,その他,その他
