発売日,メーカー,タイトル,⭐クロスレビュー(評価),パッケージ併売,ジャンル,開発元,未使用,販売本数,プラットフォーム
2022-06-25,スパイク・チュンソフト,アイ：ソムニウムファイル ニルヴァーナ イニシアチブ,2,,その他,スパイク・チュンソフト,0,1,Xbox Series X/S
2022-06-28,THQ Nordic,MX vs ATV Legends,2,,その他,THQ Nordic,0,1,Xbox Series X/S
2022-06-30,Secret Item Games,砂時計[Hourglass],2,,その他,Secret Item Games,0,1,Xbox Series X/S
2022-07-01,Joindots GmbH,Renzo Racer - レンゾレーサー,2,,その他,Joindots GmbH,0,1,Xbox Series X/S
2022-07-02,エレクトロニック・アーツ,F1 22 Xbox Series X|S,2,,その他,エレクトロニック・アーツ,0,1,Xbox Series X/S
2022-07-06,Brownmonster Limited,Rush Rally Origins,2,,その他,Brownmonster Limited,0,1,Xbox Series X/S
2022-07-07,バンダイナムコエンターテインメント,風のクロノア 1&2アンコール,2,,その他,バンダイナムコエンターテインメント,0,1,Xbox Series X/S
2022-07-08,DX Gameworks LLC,Eternal Hope,2,,その他,DX Gameworks LLC,0,1,Xbox Series X/S
2022-07-09,2Awesome Partners,Formula Bit Racing DX,2,,その他,2Awesome Partners,0,1,Xbox Series X/S
2022-07-12,Merge Games,タイム・オン・フログ・アイランド,2,,その他,Merge Games,0,1,Xbox Series X/S
2022-07-14,インティ・クリエイツ,蒼き雷霆 ガンヴォルト 爪,2,,その他,インティ・クリエイツ,0,1,Xbox Series X/S
2022-07-15,Meteorbyte Publishing,Running On Magic(ランニングオンマジック),2,,その他,Meteorbyte Publishing,0,1,Xbox Series X/S
2022-07-19,HandyGames,Endling - Extinction is Forever（エンドリング - エクスティンクション イズ フォーエバー）,2,,その他,HandyGames,0,1,Xbox Series X/S
2022-07-20,Xbox Game Studios,As Dusk Falls,2,,その他,Xbox Game Studios,0,1,Xbox Series X/S
2022-07-21,PLAYISM,Bright Memory: Infinite,2,,その他,PLAYISM,0,1,Xbox Series X/S
2022-07-22,カプコン,Capcom Arcade 2nd Stadium（カプコンアーケード 2ndスタジアム）,2,,その他,カプコン,0,1,Xbox Series X/S
