発売日,メーカー,タイトル,⭐クロスレビュー(評価),パッケージ併売,ジャンル,開発元,ID,販売本数,ジャンル(詳細),プラットフォーム
2017-12-14,トイディア,ドラゴンファングZ 竜者ロゼと宿り木の迷宮,-,,ETC,トイディア,0,1,その他,その他
2017-12-14,オーイズミ・アミュージオ,ファーミングシミュレーター Nintendo Switch Edition（英語版）,-,YES,ETC,オーイズミ・アミュージオ,1133_0m_139,1,その他,その他
2017-12-14,シルバースタージャパン,遊んで将棋が強くなる!銀星将棋DX,-,YES,ETC,シルバースタージャパン,1079_0m_120,1,その他,その他
2017-12-15,スクウェア・エニックス,ロマンシング サガ2,-,,ETC,スクウェア・エニックス,0,1,その他,その他
2017-12-19,Angry Mob Games,Brawlout（英語版）,-,,ETC,Angry Mob Games,0,1,その他,その他
2017-12-19,カヤック,RXN -雷神-,-,,ETC,カヤック,0,1,その他,その他
2017-12-21,エディア,10秒走 RETURNS,-,,ETC,エディア,0,1,その他,その他
2017-12-21,Devolver Digital,Enter the Gungeon（英語版）,30,,ASHT,Devolver Digital,0,1,アクションシューティング,その他
2017-12-21,レイニーフロッグ,ONE MORE DUNGEON,-,,ETC,レイニーフロッグ,0,1,その他,その他
2017-12-21,UNTIES,TINY METAL（英語版）,31,,SLG,UNTIES,0,1,戦略シミュレーション,その他
2017-12-21,Annapurna Interactive,ゴロゴア,-,,ETC,Annapurna Interactive,0,1,その他,その他
2017-12-21,アークシステムワークス,サバクのネズミ団!改。,-,,ETC,アークシステムワークス,0,1,その他,その他
2017-12-21,アークシステムワークス,シンプル麻雀オンライン,-,,ETC,アークシステムワークス,0,1,その他,その他
2017-12-21,日本一ソフトウェア,セクシー・ブルテイル（英語版）,32,,ADV,日本一ソフトウェア,0,1,パズルアドベンチャー,その他
2017-12-21,メディアファイブ,ナナミと一緒に学ぼ! TOEIC LISTENING AND READING TEST 完全マスター,-,,ETC,メディアファイブ,0,1,その他,その他
2017-12-21,ジェイコンテンツ,プラチナ・トレイン～日本縦断てつどうの旅～,-,,ETC,ジェイコンテンツ,0,1,その他,その他
2017-12-21,ハップ,ママにゲーム隠された,-,,ETC,ハップ,0,1,その他,その他
2017-12-21,コーエーテクモゲームス,リディー&スールのアトリエ 〜不思議な絵画の錬金術士〜,35,YES,RPG,コーエーテクモゲームス,1077_0m_118n,1,錬金術再生RPG,その他
2017-12-21,バンダイナムコエンターテインメント,ワンピース 海賊無双3 デラックスエディション,-,YES,ETC,バンダイナムコエンターテインメント,1131_0m_138,1,その他,その他
2017-12-28,メビウス,L.F.O. -Lost Future Omega-,-,,ETC,メビウス,0,1,その他,その他
2017-12-28,Higgs Games前:Young Fun Studio,Moorhuhn Knights & Castles（英語版）,-,,ETC,Higgs Games前:Young Fun Studio,0,1,その他,その他
2017-12-28,Plug In Digital,The Next Penelope,-,,ETC,Plug In Digital,0,1,その他,その他
2017-12-28,ソリッドスフィア,カイジ〜絶望の鉄骨渡り〜 for Nintendo Switch,-,,ETC,ソリッドスフィア,0,1,その他,その他
2017-12-28,フライハイワークス,スライムの野望,-,,ETC,フライハイワークス,0,1,その他,その他
2017-12-28,テヨンジャパン,タロミア,-,,ETC,テヨンジャパン,0,1,その他,その他
2017-12-28,テヨンジャパン,ヒューマン フォール フラット,-,,ETC,テヨンジャパン,1257_0m_197n,1,その他,その他
2017-12-28,Phoenixx前:UNTIES,不思議の幻想郷TOD -RELOADED-,32,,RPG,Phoenixx前:UNTIES,0,1,ダンジョンRPG,その他
2018-01-11,ConcernedApe前:Chucklefish（英語版）,Stardew Valley（英語版）,-,,ETC,ConcernedApe前:Chucklefish（英語版）,0,1,その他,その他
2018-01-11,レイニーフロッグ,お絵かきパズル Pic-a-Pix Deluxe,-,,ETC,レイニーフロッグ,0,1,その他,その他
2018-01-18,ピッキー,VVVVVV,-,,ETC,ピッキー,0,1,その他,その他
2018-01-18,フライハイワークス,World to the West,32,,AADV,フライハイワークス,0,1,アクションアドベンチャー,その他
2018-01-18,ゼロディブ,ZERO GUNNER 2- for Nintendo Switch,-,,ETC,ゼロディブ,0,1,その他,その他
2018-01-18,任天堂,マリオ+ラビッツ キングダムバトル,36,YES,SLG,任天堂,1144_0m_147,1,シミュレーションアドベンチャー,その他
2018-01-18,ライドオンジャパン,マーセナリーズサーガ クロニクルズ,-,,ETC,ライドオンジャパン,0,1,その他,その他
2018-01-18,レイニーフロッグ,迷宮の塔 トレジャーダンジョン,-,,ETC,レイニーフロッグ,0,1,その他,その他
2018-01-23,Coatsink Software,Shu,31,,ACT,Coatsink Software,0,1,横スクロールアクション,その他
2018-01-25,ワンオアエイト,EARTH WARS,-,,ETC,ワンオアエイト,0,1,その他,その他
2018-01-25,ゼロディブ,STRIKERS1945 II for Nintendo Switch,-,,ETC,ゼロディブ,0,1,その他,その他
