発売日,メーカー,タイトル,⭐クロスレビュー(評価),価格帯,ジャンル,シリーズ,ID,売り上げ本数(万本),ジャンル(詳細),👥クリエイターズ👨‍💼👨‍💻🎨,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー
2011-12-08,ユービーアイソフト,マイケル・ジャクソン ザ・エクスペリエンス,31,-,音,-,otr/26,0,ダンスアクション,,,,,,,
2011-12-15,アルケミスト,うみねこのなく頃に 散,-,-,-,-,0,0,-,,,,,,,
2011-12-15,スクウェア・エニックス,ファイナルファンタジーXIII-2,40,-,RPG,ファイナルファンタジーXIII-,14924_s,92,RPG,,,,,,,
2011-12-15,GNソフトウェア,涼風のメルト,-,-,-,-,0,0,-,,,,,,,
2011-12-17,アークシステムワークス,ブレイブルー コンティニュアムシフト エクステンド,35,-,FTG,-,0,0,2D対戦格闘,,,,,,,
2011-12-17,チュンソフト,真かまいたちの夜 11人目の訪問者,37,-,ADV,真かまいたちの夜,adv/20,0,サウンドノベル,,,,,,,
2011-12-22,スクウェア・エニックス,コール オブ デューティ モダン・ウォーフェア3（吹き替え版）,39,-,FPS,コール オブ デューティ モダン・ウォーフェア,sho/88,0,FPS,,,,,,,
2011-12-22,コナミデジタルエンタテインメント,実況パワフルプロ野球2011決定版,34,-,SPT,実況パワフルプロ野球,spo/75,0,野球・育成,,,,,,,
2011-12-22,毎日コミュニケーションズ,新 東大将棋,-,-,-,-,0,0,-,,,,,,,
2011-12-22,GNソフトウェア,水月 弐,-,-,-,-,0,0,-,,,,,,,
2011-12-22,コーエーテクモゲームス,無双OROCHI 2,34,-,ACT,無双OROCHI,14956_s,40,タクティカルアクション,,,,,,,
2011-12-29,バンダイナムコゲームス,アイドルマスター アニメ＆G4U!パック VOL.3,-,-,-,アイドルマスター アニメ＆G,0,0,-,,,,,,,
2012-01-12,フロントウイング,タイムリープ,-,-,-,-,0,0,-,,,,,,,
2012-01-19,テイクツー・インタラクティブ・ジャパン,レッド・デッド・リデンプション コンプリートエディション,39,-,AADV,-,aad/33,0,アクションアドベンチャー,,,,,,,
2012-01-26,THQジャパン,WWE'12,34,-,SPT,WWE',0,0,プロレス,,,,,,,
2012-01-26,バンダイナムコゲームス,アイドルマスター アニメ＆G4U!パック VOL.4,-,-,-,アイドルマスター アニメ＆G,0,0,-,,,,,,,
2012-01-26,フロム・ソフトウェア,アーマード・コア5,-,-,-,アーマード・コア,0,0,-,,,,,,,
2012-01-26,スパイク,侍道4 Plus,-,-,-,-,0,0,-,,,,,,,
2012-02-02,ソニー・コンピュータエンタテインメント,グランツーリスモ5 スペック2,37,-,SLG,グランツーリスモ,rac/26,0,カーライフシミュレーター,,,,,,,
2012-02-02,バンダイナムコゲームス,ソウルキャリバーV,37,-,FTG,-,cbt/27,0,3D対戦格闘,,,,,,,
2012-02-02,スパイク,ドラゴンエイジII,-,-,-,-,0,0,-,,,,,,,
2012-02-02,コナミデジタルエンタテインメント,ネバーデッド,32,-,ACT,-,0,0,不死身アクション,,,,,,,
2012-02-09,ユービーアイソフト,カースド クルセイド,-,-,-,-,0,0,-,,,,,,,
2012-02-16,サイバーフロント,WRC2 -FIA World Rally Championship-,-,-,-,WRC,0,0,-,,,,,,,
2012-02-16,セガ,バイナリー ドメイン,35,-,ACT,-,sho/90,0,ドラマティックアクション,,,,,,,
2012-02-23,バンダイナムコゲームス,NARUTO -ナルト- 疾風伝 ナルティメットストームジェネレーション,36,-,ACT,-,cbt/53,0,忍道対戦アクション,,,,,,,
2012-02-23,テイクツー・インタラクティブ・ジャパン,The Darkness II,-,-,-,The Darkness,0,0,-,,,,,,,
2012-02-23,アルケミスト,ぎゃる☆がん,32,-,SHT,-,0,0,シューティング,,,,,,,
2012-02-23,コンパイルハート,たっち、しよっ! 〜Love Application〜,-,-,-,-,0,0,-,,,,,,,
2012-02-23,バンダイナムコゲームス,アイドルマスター アニメ＆G4U!パック VOL.5,-,-,-,アイドルマスター アニメ＆G,0,0,-,,,,,,,
2012-02-23,カプコン,アスラズ ラース,38,-,ACT,-,act/82,0,体験型連続活劇アクション,,,,,,,
2012-02-23,グレフ,アンダーディフィートHD,-,-,-,-,0,0,-,,,,,,,
2012-02-23,セガ,ザ・ハウス・オブ・ザ・デッド オーバーキル ディレクターズカット,30,-,SHT,-,0,0,ホラーガンシューティング,,,,,,,
2012-03-01,コナミデジタルエンタテインメント,UFC Undisputed 3,-,-,-,UFC Undisputed,0,0,-,,,,,,,
2012-03-01,バンダイナムコゲームス,ワンピース 海賊無双,36,-,ACT,-,14925_s,83,無双アクション,,,,,,,
2012-03-07,コーエーテクモゲームス,信長の野望 Online 鳳凰の章,-,-,-,-,0,0,-,,,,,,,
2012-03-08,カプコン,ストリートファイター X 鉄拳,35,-,FTG,ストリートファイター,cbt/29,0,対戦格闘,,,,,,,
2012-03-08,コナミデジタルエンタテインメント,ブレイズ オブ タイム,32,-,AADV,-,0,0,アクションアドベンチャー,,,,,,,
2012-03-08,バンダイナムコゲームス,機動戦士ガンダムUC,30,-,ACT,-,0,0,ロボットアクション,,,,,,,
2012-03-08,サイバーフロント,萌え萌え大戦争☆げんだいばーん++,-,-,-,-,0,0,-,,,,,,,
2012-03-08,コナミデジタルエンタテインメント,蒼の英雄 BIRDS of STEEL,32,-,SLG,-,sho/96,0,フライトシミュレーター,,,,,,,
2012-03-15,エレクトロニック・アーツ,Mass Effect 3,-,-,-,Mass Effect,0,0,-,,,,,,,
2012-03-15,エレクトロニック・アーツ,SSX,33,-,TBL,-,0,0,スノーボードアクション,,,,,,,
2012-03-15,コーエーテクモゲームス,ウイニングポスト7 2012,30,-,SLG,ウイニングポスト,0,0,競馬シミュレーション,,,,,,,
2012-03-15,コーエーテクモゲームス,真・三國無双 Online 〜龍神乱舞〜,-,-,-,-,0,0,-,,,,,,,
2012-03-15,日本一ソフトウェア,迷宮塔路レガシスタ,-,-,-,-,0,0,-,,,,,,,
2012-03-22,エレクトロニック・アーツ,FIFAストリート 2012,-,-,-,FIFAストリート,0,0,-,,,,,,,
2012-03-22,ベセスダ・ソフトワークス,Fallout New Vegas Ultimate Edition,-,-,-,Fallout New,0,0,-,,,,,,,
2012-03-22,コーエーテクモゲームス,NINJA GAIDEN 3,36,-,ACT,NINJA GAIDEN,0,0,アクション,,,,,,,
