発売日,メーカー,タイトル,⭐クロスレビュー(評価),パッケージ併売,ジャンル,開発元,ID,販売本数,ジャンル(詳細),プラットフォーム
2014-12-11,プロトタイプ,グリザイアの楽園 -LE EDEN DE LA GRISAIA-,-,YES,ETC,プロトタイプ,0,1,その他,PS Vita
2014-12-11,ディースリー・パブリッシャー欧州：PQube,地球防衛軍2 PORTABLE V2Earth Defense Force 2: Invaders from Planet Space,-,YES,ETC,ディースリー・パブリッシャー欧州：PQube,0,1,その他,PS Vita
2014-12-11,システムソフト・アルファー,戦極姫5〜戦禍断つ覇王の系譜〜,-,YES,ETC,システムソフト・アルファー,slg/29,1,その他,PS Vita
2014-12-17,ピグミースタジオ,ラ・ムラーナEX,31,,ACT,ピグミースタジオ,0,1,遺跡探検考古学アクション,PS Vita
2014-12-18,TAKUYO,カエル畑DEつかまえて☆彡,-,YES,ETC,TAKUYO,0,1,その他,PS Vita
2014-12-18,バンダイナムコゲームス,ガンダムブレイカー2,33,YES,ACT,バンダイナムコゲームス,act/68,1,創壊共闘アクション,PS Vita
2014-12-18,アークシステムワークスCorecell Technology,タイムアベンジャーAeternoBlade,-,,ETC,アークシステムワークスCorecell Technology,0,1,その他,PS Vita
2014-12-18,コンパイルハート,神次次元ゲイム ネプテューヌRe;Birth3 V CENTURYHyperdimension Neptunia Re;Birth 3: V Generation,-,YES,ETC,コンパイルハート,0,1,その他,PS Vita
2014-12-24,PLAYISMAmanita Design,Machinarium,-,,ETC,PLAYISMAmanita Design,0,1,その他,PS Vita
2014-12-24,PLAYISM,TorqueL,-,,ETC,PLAYISM,0,1,その他,PS Vita
2014-12-24,アークシステムワークスNeko Entertainment,にゃんだふる★パズル ネコブロNekoburo CatsBlock,-,,ETC,アークシステムワークスNeko Entertainment,0,1,その他,PS Vita
2014-12-25,バンダイナムコゲームス,魔法科高校の劣等生 Out of Order,-,YES,ETC,バンダイナムコゲームス,0,1,その他,PS Vita
2015-01-14,Eiconic Games,Final Horizon,-,,ETC,Eiconic Games,0,1,その他,PS Vita
2015-01-14,Curve Digital,Titan Attacks!,-,,ETC,Curve Digital,0,1,その他,PS Vita
2015-01-15,アイディアファクトリー,"DIABOLIK LOVERS MORE,BLOODLIMITED V EDITION",-,YES,ETC,アイディアファクトリー,0,1,その他,PS Vita
2015-01-22,ソニー・コンピュータエンタテインメント,RESOGUN,-,,ETC,ソニー・コンピュータエンタテインメント,0,1,その他,PS Vita
2015-01-22,アイディアファクトリー,ROOT∞REXX,-,YES,ETC,アイディアファクトリー,0,1,その他,PS Vita
2015-01-22,ガスト,エスカ&ロジーのアトリエ Plus 〜黄昏の空の錬金術士〜Atelier Escha & Logy Plus: Alchemists of the Dusk Sky,-,YES,ETC,ガスト,0,1,その他,PS Vita
2015-01-22,エストシエル,カレイドイヴ,31,YES,ADV,エストシエル,0,1,恋愛アドベンチャー,PS Vita
2015-01-22,エクスペリエンスNIS America,剣の街の異邦人 〜黒の宮殿〜Stranger of Sword City,-,YES,ETC,エクスペリエンスNIS America,0,1,その他,PS Vita
