発売日,メーカー,タイトル,⭐クロスレビュー(評価),パッケージ併売,ジャンル,開発元,ID,販売本数,プラットフォーム
2012-04-05,IEインスティテュート,TOEIC®テスト超速トレーニング,2,YES,その他,IEインスティテュート,0,1,その他
2012-04-05,IEインスティテュート,ポヨポヨ観察日記,2,YES,その他,IEインスティテュート,0,1,その他
2012-04-11,アークシステムワークス,おきらくカート3D Family Kart 3D,2,,その他,アークシステムワークス,0,1,その他
2012-04-12,ハムスター,ニコリの数独3D 第二集 〜8つのパズルで1000問〜,2,YES,その他,ハムスター,0,1,その他
2012-04-18,シルバースタージャパンAgetec,3次元エアホッケーAir Battle Hockey 3D,2,,その他,シルバースタージャパンAgetec,0,1,その他
2012-04-19,アガツマ・エンタテインメント 北米: Atlas,CODE OF PRINCESS,2,YES,その他,アガツマ・エンタテインメント 北米: Atlas,0,1,その他
2012-04-19,学研,Earthpedia,2,YES,その他,学研,0,1,その他
2012-04-19,サイバーフロントMajesco Entertainment,NANO ASSAULT,2,YES,その他,サイバーフロントMajesco Entertainment,0,1,その他
2012-04-19,バンダイナムコゲームス,ちょ〜りっち!たまごっちのプチプチおみせっち,2,YES,その他,バンダイナムコゲームス,0,1,その他
2012-04-19,ユービーアイソフト,ガールズファッション3D☆めざせ!トップスタイリスト Imagine: Fashion Designer,2,YES,その他,ユービーアイソフト,0,1,その他
2012-04-19,任天堂,ファイアーエムブレム 覚醒Fire Emblem Awakening,2,YES,その他,任天堂,0,1,その他
2012-04-25,任天堂,3Dクラシックス 星のカービィ 夢の泉の物語 3D Classics: Kirby's Adventure,2,,その他,任天堂,0,1,その他
2012-04-25,アークシステムワークス,ARC STYLE: 三国志Pinball,2,,その他,アークシステムワークス,0,1,その他
2012-04-25,シルバースタージャパン Agetec,ブラッディヴァンパイア,2,,その他,シルバースタージャパン Agetec,0,1,その他
2012-04-26,アークシステムワークス 北米: Aksys Games 欧州: Rising Star,Shifting World 白と黒の迷宮 Shifting World,2,YES,その他,アークシステムワークス 北米: Aksys Games 欧州: Rising Star,0,1,その他
2012-04-26,日本コロムビア,まめゴマ よいこ まるいこ げんきなこ!,2,YES,その他,日本コロムビア,0,1,その他
2012-04-26,コーエーテクモゲームス,真・三國無双 VS,2,YES,その他,コーエーテクモゲームス,0,1,その他
2012-05-09,ハムスター,ニコリのパズル 橋をかけろ,2,,その他,ハムスター,0,1,その他
2012-05-17,アイレムソフトウェアエンジニアリング,パチパラ3D 大海物語2 〜パチプロ風雲録・花 希望と裏切りの学園生活〜,2,YES,その他,アイレムソフトウェアエンジニアリング,0,1,その他
2012-05-23,ハムスター,ニコリのパズル 四角に切れ,2,,その他,ハムスター,0,1,その他
2012-05-24,元気,G1グランプリ,2,YES,その他,元気,0,1,その他
2012-05-24,ソニックパワード,ぼくは航空管制官 エアポートヒーロー3D 羽田 with JAL,2,YES,その他,ソニックパワード,0,1,その他
2012-05-24,バンダイナムコゲームス,みんなの縁日,2,YES,その他,バンダイナムコゲームス,0,1,その他
2012-05-24,ユービーアイソフト,ハッピー☆アニマル牧場 Funky Barn 3D,2,YES,その他,ユービーアイソフト,0,1,その他
2012-05-24,任天堂,マリオテニス オープン,2,YES,その他,任天堂,0,1,その他
2012-05-30,アークシステムワークス,ARC STYLE: フリーセル,2,,その他,アークシステムワークス,0,1,その他
2012-05-30,ポイソフト,夜の魔人といくさの国 〜さまよえるヴァンピール〜,2,,その他,ポイソフト,0,1,その他
2012-05-31,レベルファイブ,GUILD1,2,YES,その他,レベルファイブ,0,1,その他
2012-05-31,スクウェア・エニックス,ドラゴンクエストモンスターズ テリーのワンダーランド3D,2,YES,その他,スクウェア・エニックス,0,1,その他
2012-06-06,ハムスター,AZITO 3D Kyoto,2,,その他,ハムスター,0,1,その他
2012-06-06,トムクリエイト,一騎当千!スマッシュヒーローズ Smash Cat Heroes,2,,その他,トムクリエイト,0,1,その他
2012-06-14,バンダイナムコゲームス,ゴン バクバクバクバクアドベンチャー,2,YES,その他,バンダイナムコゲームス,0,1,その他
2012-06-14,ハムスター Teyon,ヘビーファイア ザ チョーズン フュー Heavy Fire: Black Arms 3D,2,YES,その他,ハムスター Teyon,0,1,その他
2012-06-21,コンパイルハート 北米: Bergsala Lightweight 欧州: Rising Star Games,ハローキティとせかいりょこう!いろんなくにへおでかけしましょ! 北米: Travel Adventures with Hello Kitty 欧州: Around the World with Hello Kitty and Friends,2,YES,その他,コンパイルハート 北米: Bergsala Lightweight 欧州: Rising Star Games,0,1,その他
2012-06-23,ポケモン Nintendo,ポケモンARサーチャーPokémon Dream Radar,2,,その他,ポケモン Nintendo,0,1,その他
2012-06-28,任天堂,カルドセプト,2,YES,その他,任天堂,0,1,その他
2012-06-28,アークシステムワークス,探偵 神宮寺三郎 復讐の輪舞,2,YES,その他,アークシステムワークス,0,1,その他
2012-07-04,バンダイナムコゲームス,ちょ〜りっち! たまごっちのプチプチおみせっちでバイオリンレッスン,2,,その他,バンダイナムコゲームス,0,1,その他
2012-07-05,レベルファイブ Nintendo,ダンボール戦機 爆ブースト LBX: Little Battlers eXperience,2,YES,その他,レベルファイブ Nintendo,0,1,その他
2012-07-05,アトラス 欧州: NIS America,世界樹の迷宮IV 伝承の巨神Etrian Odyssey IV: Legends of the Titan,2,YES,その他,アトラス 欧州: NIS America,0,1,その他
2012-07-05,バンダイナムコゲームス,逃走中 史上最強のハンターたちからにげきれ!,2,YES,その他,バンダイナムコゲームス,0,1,その他
2012-07-11,アークシステムワークス,ARC STYLE:野球!!3D Arc Style: Baseball 3D,2,,その他,アークシステムワークス,0,1,その他
2012-07-12,レベルファイブ,タイムトラベラーズ,2,YES,その他,レベルファイブ,0,1,その他
2012-07-12,任天堂,ポケットサッカーリーグ カルチョビットNintendo Pocket Football Club,2,YES,その他,任天堂,0,1,その他
2012-07-12,バンダイナムコゲームス,太鼓の達人 ちびドラゴンと不思議なオーブ,2,YES,その他,バンダイナムコゲームス,0,1,その他
