発売日,メーカー,タイトル,⭐クロスレビュー(評価),パッケージ併売,ジャンル,開発元,未使用,販売本数,プラットフォーム
2024-02-01,Riot Forge,ヌヌの唄：リーグ・オブ・レジェンド ストーリー,2,,その他,Riot Forge,0,1,Xbox One
2024-02-01,バンダイナムコエンターテインメント,呪術廻戦 戦華双乱,2,,その他,バンダイナムコエンターテインメント,0,1,Xbox One
2024-02-01,カイロソフト,大海賊クエスト島DX,2,,その他,カイロソフト,0,1,Xbox One
2024-02-02,Cascadia Games LLC,Mighty Aphid 2,2,,その他,Cascadia Games LLC,0,1,Xbox One
2024-02-02,SEGA,ペルソナ３ リロード,2,,その他,SEGA,0,1,Xbox One
2024-02-06,CollectorVision Games,Sydney Hunter And The Curse Of The Mayan（シドニー・ハンターとマヤの呪い）,2,,その他,CollectorVision Games,0,1,Xbox One
2024-02-08,Torture Star Video,Cannibal Abduction 〜人食い家族に誘拐される事件〜,2,,その他,Torture Star Video,0,1,Xbox One
2024-02-08,Hello There Games/Warner Music,INVECTOR: RHYTHM GALAXY,2,,その他,Hello There Games/Warner Music,0,1,Xbox One
2024-02-09,Brain Station 23,Control:Override,2,,その他,Brain Station 23,0,1,Xbox One
2024-02-14,Aspyr,Tomb Raider I-III Remastered Starring Lara Croft,2,,その他,Aspyr,0,1,Xbox One
2024-02-15,インティ・クリエイツ,GUNVOLT RECORDS 電子軌録律（サイクロニクル）,2,,その他,インティ・クリエイツ,0,1,Xbox One
2024-02-15,PID Games,Lords of Exile（ロードオフエグザイル - ガブリエルの影）,2,,その他,PID Games,0,1,Xbox One
2024-02-15,Merge Games,Smalland: Survive the Wilds,2,,その他,Merge Games,0,1,Xbox One
2024-02-15,Yogscast Games,プレートアップ！,2,,その他,Yogscast Games,0,1,Xbox One
2024-02-15,あまた株式会社,世界の為の全ての少女,2,,その他,あまた株式会社,0,1,Xbox One
2024-02-16,Secret Mode,A Little to the Left,2,,その他,Secret Mode,0,1,Xbox One
2024-02-16,CubeCube Sports LTD.,BBQ Simulator: The Squad,2,,その他,CubeCube Sports LTD.,0,1,Xbox One
2024-02-16,Bakart Games,Call of Heroes: Tower Defense,2,,その他,Bakart Games,0,1,Xbox One
2024-02-16,ラタライカゲームス,Caveman Ransom,2,,その他,ラタライカゲームス,0,1,Xbox One
2024-02-16,Marco Amadei,イージーレッド2,2,,その他,Marco Amadei,0,1,Xbox One
2024-02-16,ケムコ,幻想クロニクル,2,,その他,ケムコ,0,1,Xbox One
2024-02-20,Atari,qomp2,2,,その他,Atari,0,1,Xbox One
2024-02-21,Playstack Ltd,Balatro,2,,その他,Playstack Ltd,0,1,Xbox One
2024-02-21,Landfall,ROUNDS,2,,その他,Landfall,0,1,Xbox One
2024-02-22,502 Studios,502's Arcade,2,,その他,502 Studios,0,1,Xbox One
2024-02-22,Nacon,Garden Life: A Cozy Simulator,2,,その他,Nacon,0,1,Xbox One
2024-02-22,Brain Seal Ltd,Geometry Survivor（ジオメトリー・サバイバー）,2,,その他,Brain Seal Ltd,0,1,Xbox One
2024-02-22,"Ziggurat Interactive, Inc.",Slave Zero X（スレイブゼロエックス)）,2,,その他,"Ziggurat Interactive, Inc.",0,1,Xbox One
2024-02-22,"Scopely, Inc.",レトロなホットドッグパック,2,,その他,"Scopely, Inc.",0,1,Xbox One
2024-02-27,Klabater,Bio Inc. Redemption（バイオ株式会社 Redemption）,2,,その他,Klabater,0,1,Xbox One
2024-02-27,Afil Games,Mimi the Cat: Mimi's Scratcher,2,,その他,Afil Games,0,1,Xbox One
2024-02-27,ATENT GAMES LLC,TRUDOGRAD,2,,その他,ATENT GAMES LLC,0,1,Xbox One
2024-02-28,Hoplite Research LLC,BROADSWORD: WARLORD EDITION,2,,その他,Hoplite Research LLC,0,1,Xbox One
2024-02-29,Artax Games,PopSlinger,2,,その他,Artax Games,0,1,Xbox One
2024-02-29,カイロソフト,ジャンボ空港物語,2,,その他,カイロソフト,0,1,Xbox One
2024-02-29,カイロソフト,創作ハンバーガー堂,2,,その他,カイロソフト,0,1,Xbox One
2024-02-29,カイロソフト,大江戸タウンズ,2,,その他,カイロソフト,0,1,Xbox One
2024-02-29,カイロソフト,開店デパート日記,2,,その他,カイロソフト,0,1,Xbox One
2024-03-01,ラタライカゲームス,One More Dungeon 2,2,,その他,ラタライカゲームス,0,1,Xbox One
2024-03-01,Versus Evil,Tamarak Trail,2,,その他,Versus Evil,0,1,Xbox One
2024-03-01,Madruga Works,The Mobius Machine,2,,その他,Madruga Works,0,1,Xbox One
2024-03-01,SUNSOFT,へべれけ2,2,,その他,SUNSOFT,0,1,Xbox One
2024-03-02,Replayne,Dynacat,2,,その他,Replayne,0,1,Xbox One
2024-03-02,Gameloft SE,ディズニー ドリームライトバレー：時間の裂け目,2,,その他,Gameloft SE,0,1,Xbox One
2024-03-05,Focus Entertainment,Expeditions: A MudRunner Game,2,,その他,Focus Entertainment,0,1,Xbox One
2024-03-06,Santa Ragione,Mediterranea Inferno,2,,その他,Santa Ragione,0,1,Xbox One
2024-03-06,Red Barrels - Montreal,The Outlast Trials,2,,その他,Red Barrels - Montreal,0,1,Xbox One
2024-03-07,4J Studios Ltd.,Manic Mechanics （マニック・メカニクス）,2,,その他,4J Studios Ltd.,0,1,Xbox One
2024-03-07,GSC Game World,S.T.A.L.K.E.R.: Call of Prypiat,2,,その他,GSC Game World,0,1,Xbox One
2024-03-07,GSC Game World,S.T.A.L.K.E.R.: Clear Sky,2,,その他,GSC Game World,0,1,Xbox One
2024-03-07,GSC Game World,S.T.A.L.K.E.R.: Legends of the Zone Trilogy,2,,その他,GSC Game World,0,1,Xbox One
2024-03-07,GSC Game World,S.T.A.L.K.E.R.: Shadow of Chornobyl,2,,その他,GSC Game World,0,1,Xbox One
2024-03-07,ユービーアイソフト,バリアント ハート：カミングホーム,2,,その他,ユービーアイソフト,0,1,Xbox One
2024-03-08,Bucketplay Inc.,Metaball,2,,その他,Bucketplay Inc.,0,1,Xbox One
2024-03-08,2K,WWE 2K24,2,,その他,2K,0,1,Xbox One
2024-03-08,ラタライカゲームス,Xatrom Command,2,,その他,ラタライカゲームス,0,1,Xbox One
2024-03-08,Burst2Flame Games,ストーレンレルム,2,,その他,Burst2Flame Games,0,1,Xbox One
2024-03-08,ケムコ,封魔戦記エルドギア,2,,その他,ケムコ,0,1,Xbox One
2024-03-12,コナミデジタルエンタテインメント,魂斗羅 オペレーション ガルガ,2,,その他,コナミデジタルエンタテインメント,0,1,Xbox One
2024-03-13,Digital Eclipse,Llamasoft: The Jeff Minter Story,2,,その他,Digital Eclipse,0,1,Xbox One
2024-03-13,Strange Beat Games,Treasures Of The Roman Empire,2,,その他,Strange Beat Games,0,1,Xbox One
2024-03-13,Eastasiasoft Limited,ヴァイオレットフジ子,2,,その他,Eastasiasoft Limited,0,1,Xbox One
2024-03-14,PixelHeart,Astebros,2,,その他,PixelHeart,0,1,Xbox One
2024-03-14,Dire Wolf Digital,Dune: Imperium,2,,その他,Dire Wolf Digital,0,1,Xbox One
2024-03-14,JanduSoft,Rebel Transmute,2,,その他,JanduSoft,0,1,Xbox One
2024-03-14,"E-Home Entertianment Development Co., Ltd",じじいの不思議な冒険,2,,その他,"E-Home Entertianment Development Co., Ltd",0,1,Xbox One
2024-03-14,DANGEN Entertainment,ダンジョンドラフターズ,2,,その他,DANGEN Entertainment,0,1,Xbox One
2024-03-15,ラタライカゲームス,Orion Haste,2,,その他,ラタライカゲームス,0,1,Xbox One
2024-03-15,COMMANDO PANDA,Sherlock Purr 2,2,,その他,COMMANDO PANDA,0,1,Xbox One
2024-03-19,MLB,MLB The Show 24,2,,その他,MLB,0,1,Xbox One
2024-03-20,Eastasiasoft Limited,Master Maker 3D Ultimate,2,,その他,Eastasiasoft Limited,0,1,Xbox One
2024-03-26,Wired Productions,Bulwark: Falconeer Chronicles,2,,その他,Wired Productions,0,1,Xbox One
