id,release_date,title,publisher,bit_memory,price
1738,2011-02-03,ドラゴンボール改 アルティメット武闘伝,バンダイナムコゲームス,512 Mb,4800
1739,2011-02-03,本気で学ぶ LECで合格る DS宅地建物取引主任者 2011年&2012年度版,スクウェア・エニックス,256 Mb,5800
1740,2011-02-10,電撃学園RPG Cross of Venus SPECIAL,アスキー・メディアワークス,2 Gb,4800
1741,2011-02-17,薄桜鬼 随想録 DS,アイディアファクトリー,4 Gb,4800
1742,2011-02-24,遊☆戯☆王5D's WORLD CHAMPIONSHIP 2011 OVER THE NEXUS,コナミデジタルエンタテインメント,1 Gb,5000
1743,2011-03-03,デジモンストーリー 超クロスウォーズ ブルー,バンダイナムコゲームス,512 Mb,4800
1744,2011-03-03,デジモンストーリー 超クロスウォーズ レッド,バンダイナムコゲームス,512 Mb,4800
1745,2011-03-03,飛び出せ!科学くん 〜地球大探検!謎の珍怪生物に挑め!〜,バンダイナムコゲームス,512 Mb,4800
1746,2011-03-03,マル合格資格奪取! 2011年度版 宅建試験,メディアファイブ,512 Mb,4200
1747,2011-03-17,パワフルゴルフ,コナミデジタルエンタテインメント,1 Gb,5000
1748,2011-03-17,学研 中国語三昧DS 聴き&書き トレーニング,学研,512 Mb,3800
1749,2011-03-17,学研 ハングル三昧DS 聴き&書き トレーニング,学研,512 Mb,3800
1750,2011-03-24,ナナミの教えてEnglish DS 〜めざせTOEIC TESTマスター〜,メディアファイブ,4 Gb,3800
1751,2011-03-31,ドラゴンクエストモンスターズ ジョーカー2 プロフェッショナル,スクウェア・エニックス,2 Gb,4440
1752,2011-03-31,技術評論社監修 基本情報技術者DS,ファースト,1 Gb,4800
1753,2011-04-01,すいすいフィジカルアセスメントトレーニングDS,メディカ出版,256 Mb,6800
1754,2011-04-07,君に届け 〜伝えるキモチ〜,バンダイナムコゲームス,512 Mb,4800
1755,2011-04-07,マル合格資格奪取! 2011年度版 行政書士試験,メディアファイブ,512 Mb,4200
1756,2011-04-14,コスメちっく☆パラダイス〜プリンセスライフ〜,GAE,512 Mb,3800
1757,2011-04-21,Original story from FAIRY TAIL 激突!カルディア大聖堂,ハドソン,512 Mb,4980
1758,2011-04-21,東大将棋 名人戦道場DS,毎日コミュニケーションズ,256 Mb,4800
1759,2011-04-21,名探偵コナン 蒼き宝石の輪舞曲,バンダイナムコゲームス,512 Mb,4800
1760,2011-04-21,バトル&ゲット! ポケモンタイピングDS,ポケモン・任天堂,1 Gb,5800
1761,2011-04-28,きれいずきん生活2,日本コロムビア,256 Mb,4800
1762,2011-04-28,薄桜鬼 遊戯録 DS,アイディアファクトリー,2 Gb,4800
1763,2011-05-26,トレジャーリポート 機械じかけの遺産,バンダイナムコゲームス,1 Gb,4800
1764,2011-05-26,RED STONE DS 〜赤き意志に導かれし者たち〜,ゲームオン,256 Mb,4800
1765,2011-05-26,マル合格資格奪取! 2011年度版 情報セキュリティスペシャリスト試験 ネットワークスペシャリスト試験,メディアファイブ,512 Mb,4800
1766,2011-06-02,介護ナビDS,フォルテック,64 Mb,9800
1767,2011-06-16,なかよしキッズの「おしごとテーマパーク」　〜おしごとたいけんゲーム〜,カルチャーブレーン,128 Mb,4180
1768,2011-06-16,真・翡翠の雫 緋色の欠片2 DS,アイディアファクトリー,4 Gb,4800
1769,2011-06-23,テニスの王子様 ぎゅっと! ドキドキサバイバル 海と山のLove Passion,コナミデジタルエンタテインメント,4 Gb,5000
1770,2011-06-23,マル合格資格奪取! 2011年度版 FP（ファイナンシャル・プランニング）技能検定試験2級・3級,メディアファイブ,512 Mb,4800
1771,2011-06-30,怪談レストラン ゾク!新メニュー100選,バンダイナムコゲームス,512 Mb,4242
1772,2011-06-30,ナナミの教えて英文法 DS 〜基礎から学ぶステップアップ学習〜,メディアファイブ,4 Gb,4800
1773,2011-06-30,お花屋さん物語,日本コロムビア,256 Mb,4800
1774,2011-07-14,キャンピングママ+パパ,オフィスクリエイト,512 Mb,4800
1775,2011-07-14,ココロノココロン,バンダイナムコゲームス,252 Mb,4800
1776,2011-07-14,ティンカー・ベルと妖精の家,ディズニー・インタラクティブ・スタジオ,512 Mb,4800
1777,2011-07-14,ぷよぷよ!! Puyopuyo 20th anniversary,セガ,512 Mb,4800
1778,2011-07-21,ノーラと刻の工房 霧の森の魔女,アトラス,2 Gb,5980
1779,2011-07-21,マル合格資格奪取! 社会福祉士試験,メディアファイブ,512 Mb,4800
1780,2011-07-28,デビルサバイバー2,アトラス,1 Gb,5980
1781,2011-08-04,オール仮面ライダー ライダージェネレーション,バンダイナムコゲームス,512 Mb,4800
1782,2011-08-04,カーズ2,ディズニー・インタラクティブ・スタジオ,512 Mb,4800
1783,2011-08-04,ピカピカナース物語,日本コロムビア,256 Mb,4800
1784,2011-08-04,あつめて!カービィ,任天堂,1 Gb,3800
1785,2011-08-18,マル合格資格奪取! 介護福祉士試験,メディアファイブ,512 Mb,4800
1786,2011-08-25,スイートプリキュア♪ メロディコレクション,バンダイナムコゲームス,512 Mb,4800
1787,2011-08-25,蒼黒の楔 緋色の欠片3 DS,アイディアファクトリー,4 Gb,4800
1788,2011-09-15,くまのプーさん 100エーカーの森のクッキングBOOK,ディズニー・インタラクティブ・スタジオ,512 Mb,4800
1789,2011-10-13,スーパースクリブルノーツ,コナミデジタルエンタテインメント,256 Mb,4980
1790,2011-10-27,Qさま!!DS プレッシャースタディー×頭が良くなるドリルSP,カムイ,512 Mb,4800
1791,2011-11-10,たまごっちコレクション,バンダイナムコゲームス,512 Mb,4800
1792,2011-11-17,海賊戦隊ゴーカイジャー あつめて変身!35戦隊!,バンダイナムコゲームス,512 Mb,4800
1793,2011-11-17,MISS PRINCESS ミスプリ!,コーエーテクモゲームス,1 Gb,4800
1794,2011-11-17,メイプルストーリーDS,ネクソン,1 Gb,3800
1795,2011-11-17,ワンピース ギガントバトル!2 新世界,バンダイナムコゲームス,1 Gb,5230
1796,2011-11-23,オレ様キングダム 恋もマンガもデビューを目指せ! ドキドキLOVEレッスン,バンダイナムコゲームス,256 Mb,4800
1797,2011-11-24,おはスタ645「ムッシーズのふしぎな農園」～よしもと芸人と友達ネット～,カルチャーブレーン,512 Mb,4980
1798,2011-11-24,FabStyle,コーエーテクモゲームス,2 Gb,4800
1799,2011-12-01,パワプロクンポケット14,コナミデジタルエンタテインメント,1 Gb,5000
1800,2011-12-01,病態生理DS イメージできる!疾患、症状とケア,メディカ出版,256 Mb,6800
1801,2011-12-08,USAVICH ゲームの時間,バンダイナムコゲームス,64 Mb,2800
1802,2011-12-08,メタルマックス2：リローデッド,角川ゲームス,512 Mb,5800
1803,2011-12-10,とんがりボウシとおしゃれな魔法使い,コナミデジタルエンタテインメント,2 Gb,4980
1804,2011-12-15,RPGツクールDS+,角川ゲームス,256 Mb,4800
1805,2011-12-15,バクマン。マンガ家への道,バンダイナムコゲームス,512 Mb,5230
1806,2011-12-22,マル合格資格奪取!SPECIAL 社労士試験,メディアファイブ,512 Mb,5800
